225
0.000000,0.948683,0.316228;1699.611269,1873.908891,1987.621151;3
0.000000,0.948683,0.316228;1738.699629,2624.496222,1869.472188;30
0.000000,0.948683,0.316228;2041.532827,3599.960070,1822.036624;31
0.000000,0.948683,0.316228;2324.292906,3884.435797,1758.425296;32
0.000000,0.948683,0.316228;2549.553276,3933.515270,1703.138261;33
0.000000,1.000000,0.000000;1271.768167,2007.069567,1778.758503;4
0.000000,1.000000,0.000000;1985.270464,3745.473513,1736.335698;35
0.000000,1.000000,0.000000;2248.310381,4290.162647,1587.256562;36
0.000000,1.000000,0.000000;2250.431608,4611.759467,1456.057069;37
0.000000,1.000000,0.000000;2202.419700,4707.372660,1370.757095;38
0.316228,0.000000,0.948683;507.923607,-98.835769,2490.776343;5
0.316228,0.000000,0.948683;536.683602,88.399171,2494.429557;40
0.316228,0.000000,0.948683;542.189117,26.189794,2494.035251;41
0.316228,0.000000,0.948683;542.385759,-2.528805,2493.909714;42
0.316228,0.000000,0.948683;543.743228,-9.368225,2494.219375;43
0.408248,0.408248,0.816497;500.338877,74.580388,2493.959313;6
0.408248,0.408248,0.816497;481.817152,107.588170,2495.053902;45
0.408248,0.408248,0.816497;467.894772,67.273887,2494.154555;46
0.408248,0.408248,0.816497;467.496377,72.678941,2494.620151;47
0.408248,0.408248,0.816497;464.537005,69.718169,2494.892150;48
0.408248,0.816497,0.408248;747.946360,576.894952,2276.240128;7
0.408248,0.816497,0.408248;1893.568879,1987.580518,2085.060662;50
0.408248,0.816497,0.408248;2263.161799,2908.937667,1993.338272;51
0.408248,0.816497,0.408248;2851.045573,3361.764821,1802.406746;52
0.408248,0.816497,0.408248;2931.576336,3487.220865,1741.223510;53
0.316228,0.948683,0.000000;2076.483166,3343.147012,1775.778765;8
0.316228,0.948683,0.000000;2529.901779,4115.235674,1555.601843;55
0.316228,0.948683,0.000000;2273.348715,4454.359941,1561.936290;56
0.316228,0.948683,0.000000;2478.308459,4879.333006,1491.253830;57
0.316228,0.948683,0.000000;2447.530187,4984.486103,1386.202820;58
0.707107,0.000000,0.707107;471.580634,-158.702207,2493.759322;9
0.707107,0.000000,0.707107;473.173512,38.012126,2495.211109;60
0.707107,0.000000,0.707107;472.762491,78.799398,2495.786635;61
0.707107,0.000000,0.707107;469.107879,82.987064,2495.521647;62
0.707107,0.000000,0.707107;467.007937,83.132758,2495.730046;63
0.816497,0.408248,0.408248;533.146122,82.099655,2496.254321;10
0.816497,0.408248,0.408248;761.487482,675.165067,2319.429834;65
0.816497,0.408248,0.408248;1793.580792,1514.450779,2079.259790;66
0.816497,0.408248,0.408248;2559.169232,1926.303895,1898.995119;67
0.816497,0.408248,0.408248;2887.809987,2304.548772,1817.875083;68
0.707107,0.707107,0.000000;105.111365,-2.366247,322.694755;11
0.707107,0.707107,0.000000;1654.347240,836.767263,-742.251616;70
0.707107,0.707107,0.000000;2065.732363,893.204617,-2324.598411;71
0.707107,0.707107,0.000000;2189.580874,915.892156,-3070.554925;72
0.707107,0.707107,0.000000;2347.483990,915.597110,-3631.848928;73
0.948683,0.000000,0.316228;2037.902500,617.686163,1833.141396;12
